Country,Quality Score,SDGi,Life Expectancy,HDI,Per Capita GDP,Region,Income Group,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Fish Footprint,Built up land,Carbon Footprint,Total Ecological Footprint (Production),Cropland Footprint.1,Grazing Footprint.1,Forest Product Footprint.1,Fish Footprint.1,Built up land.1,Carbon Footprint.1,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land.2,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required,"actual 
Country Overshoot Day 
2018"
Afghanistan,3A,53.9,64.486,0.509,564.6173825447371,Middle East/Central Asia,LI,37.171898437499905,0.139392867173196,0.15773983101157,0.0520339273718322,8.39720159434353e-05,0.028433397994101,0.0903031468474439,0.467987142414086,0.269787812494637,0.16509514169904,0.0628786314568386,0.00105956501646205,0.028433397994101,0.155000802846612,0.68225535150769,0.139392867173196,0.15773983101157,0.0143768678397281,0.0,0.028433397994101,0.339942964018595,-0.34231238748909504,0.4310913107429446,2.0069700618082815,
Angola,3A,50.3,60.782,0.582,3233.902767090789,Africa,LM,30.809800781249898,0.21091926669825,0.0545463738396665,0.0865844324850323,0.0788920221943008,0.0464374273660293,0.201849768942,0.679229291525279,0.329742116432915,0.0758528505785264,0.0895366909169708,0.0913829061911503,0.0464374273660293,0.228892681045035,0.861844672530626,0.21091926669825,0.918249423096492,0.48599972653195,0.175160477233779,0.0464374273660293,1.8367663209265,0.9749216483958739,0.5445669993163311,0.469218464380322,
Antigua and Barbuda,2B,,76.885,0.772,15134.910089609682,Central America/Caribbean,HI,0.09628600311279299,,,,,,,1.91037279893994,,,,,,,4.65509241986169,,,,,,0.856508776466882,-3.7985836433948084,2.941376551276641,5.434961728079485,1900-05-03 02:11:50.646
Bahamas,3A,,73.752,0.812,28845.521021436787,Central America/Caribbean,HI,0.385636993408203,0.0493067627665355,0.00234998750684305,0.0636655038355469,0.054176856223556,0.0425307796456782,1.71107539997759,1.92310528995575,0.580121172508034,0.276781913722612,0.220928672588984,0.11421525041982,0.0425307796456782,3.04994819521358,4.28452598409871,0.0493067627665355,0.00234998750684305,1.09923100222213,7.98196516497908,0.0425307796456782,9.17538369712026,4.89085771302155,2.7072296586837385,0.466958780747603,1900-05-13 19:46:48.556
Bangladesh,3A,63.5,72.32,0.625,1202.1539624605737,Asia-Pacific,LI,161.377,0.273862594835575,0.00319794563405955,0.0619307171747321,0.0217608817386625,0.0814558435756814,0.191779705593373,0.633987688552084,0.385748167749737,0.00544017943188014,0.08178511062609,0.0270048400266276,0.0814558435756814,0.322460085927038,0.903894227337054,0.273862594835575,0.00319794563405955,0.00512813145574539,0.0512234233030412,0.0814558435756814,0.414867938804102,-0.48902628853295205,0.571136520035519,2.1787517009451705,
Burkina Faso,3A,53.5,61.174,0.443,800.3139002101107,Africa,LI,19.7515,0.548195216431469,0.141871592283444,0.31214920623696,0.00417689357470588,0.0715640973132055,0.078631535911159,1.15658854175094,0.498846401712048,0.141710294635151,0.313284145570886,0.0467893914882404,0.0715640973132055,0.189091874863153,1.26128620558268,0.548195216431469,0.141871592283444,0.236016066298135,0.00114413669435352,0.0715640973132055,0.998791109020606,-0.2624950965620739,0.7969589720110887,1.2628128085956545,
Burundi,3A,51.8,61.247,0.431,210.80408018099374,Africa,LI,11.1754003906249,0.400638268090781,0.0582137342359947,0.241266724280077,0.00157278522872648,0.0710949370455026,0.0150073512097011,0.787793800090782,0.412325453206913,0.0590846360057628,0.242643091547767,0.00318456582439277,0.0710949370455026,0.045127633789812,0.83346031742015,0.400638268090781,0.0582137342359947,0.00844721182283496,0.00701231918472567,0.0710949370455026,0.545406470379839,-0.288053847040311,0.5266320006063497,1.52814526904989,
Cabo Verde,2B,68.1,72.782,0.663,3740.0024132685367,Africa,LM,0.5437670288085931,,,,,,,1.60858089824442,,,,,,,1.83415222311775,,,,,,0.474331615937812,-1.3598206071799381,1.1589313066121174,3.8668141896706705,1900-11-09 22:41:16.305
Cambodia,2B,64.5,69.57,0.585,1202.6240467505759,Asia-Pacific,LI,16.2497998046875,,,,,,,1.31457309109297,,,,,,,1.50140806941894,,,,,,1.19559415479015,-0.30581391462878993,0.9486828812343137,1.2557840496321815,
Cameroon,3A,55.3,58.921,0.56,1502.1672024219145,Africa,LM,25.2163007812501,0.573293252095208,0.0821539891707505,0.263563136042931,0.0434632384733714,0.0649273480586294,0.0998343689159466,1.12723533275684,0.567804777802726,0.0871554795841537,0.208839725756747,0.0964269175778658,0.0649273480586294,0.188677012264052,1.21383126104417,0.573293252095208,0.0821539891707505,0.807051127858538,0.0666308595576038,0.0649273480586294,1.59405657674073,0.38022531569656004,0.7669739902925401,0.761473136371368,
Central African Republic,3A,38.3,52.805,0.395,379.36553585401447,Africa,LI,4.66637011718751,0.295875144563285,0.551184166247712,0.287267629621589,0.00946268266347546,0.0381276054583879,0.0265234098929468,1.2084406384474,0.316095053190077,0.537719996802984,0.259781213502962,0.0172378653905667,0.0381276054583879,0.0348672180985765,1.20382895244355,0.295875144563285,0.551184166247712,6.62300119752983,0.0,0.0381276054583879,7.50818811379922,6.30435916135567,0.7606539104051959,0.16033548097057468,
Comoros,2B,,64.118,0.552,1402.7383270693822,Africa,LI,0.8323220214843761,,,,,,,0.889176856266902,,,,,,,1.19337515186407,,,,,,0.352037535962415,-0.841337615901655,0.7540485498402777,3.3899088306068585,
Congo,3A,52.9,64.29,0.573,2303.979954655527,Africa,LM,5.24435986328125,0.125635323141426,0.0419743939547703,0.428541875720879,0.0960274470026505,0.0352249030871305,0.21288231863476,0.940286261541616,0.272559186851086,0.071847417074778,0.283098251860799,0.14544537132602,0.0352249030871305,0.219899449154509,1.02807457935432,0.125635323141426,2.53342318917625,5.79108732124404,0.292238215078957,0.0352249030871305,8.7776089517278,7.749534372373479,0.6496013801518122,0.11712467313230582,
"Congo, Democratic Republic of",3A,49.3,60.368,0.478,418.9888833615827,Africa,LI,84.0681015625,0.208885570147107,0.00835102484398185,0.422197690737425,0.00529529691478538,0.0608518219872606,0.00927517378275823,0.714856578413318,0.224335307895646,0.0100739821946191,0.421817933473999,0.0159806977985287,0.0608518219872606,0.0489688611183723,0.782028604468426,0.208885570147107,0.250075268433282,1.6036486078802,0.0360784258997131,0.0608518219872606,2.15953969434756,1.377511089879134,0.49413424957938157,0.36212745082451125,
Côte d'Ivoire,3A,57.6,57.422,0.534,1667.9431853860758,Africa,LM,25.06919921875,1.07573300978485,0.0186592773159155,0.2052249708808,0.0419329571277421,0.110831564227826,0.15120394875043,1.60358572808756,0.573612921124124,0.0444125176857928,0.215035431115164,0.189740969021868,0.110831564227826,0.262749440538295,1.39638284371307,1.07573300978485,0.460986541447211,0.108047998259597,0.0328941626820584,0.110831564227826,1.78849327640154,0.3921104326884699,0.8823214197806739,0.7807593476239404,
Cyprus,2B,74.9,80.828,0.885,23394.93936874519,EU,HI,1.18927001953125,,,,,,,2.0992040652454,,,,,,,3.85016788334156,,,,,,0.205836195259047,-3.644331688082513,2.4327752296002236,18.705008992689955,1900-05-29 00:49:33.154
Dominica,2B,,,0.738,6696.54450261782,Central America/Caribbean,UM,0.0716249999999998,,,,,,,1.31845819580782,,,,,,,2.45839865678177,,,,,,1.14067533755465,-1.3177233192271203,1.5533689797210808,2.1552132985114074,1900-08-21 23:21:20.030
Ecuador,2B,72.5,76.8,0.762,5180.585679118625,South America,UM,17.0844003906249,,,,,,,2.26600109126402,,,,,,,1.70246786871039,,,,,,1.88578879006471,0.18332092135431988,1.0757249516595944,0.9027882007146573,1900-12-04 07:20:43.990
Egypt,2B,68.6,71.825,0.701,2905.807097684674,Africa,LM,98.4236015624997,,,,,,,1.30928931544227,,,,,,,1.83631018042192,,,,,,0.365710103148648,-1.470600077273272,1.160294838082741,5.021218075770594,1900-11-09 13:48:18.714
Equatorial Guinea,2A,,58.402,0.582,10134.6862776952,Africa,HI,1.3089699707031202,0.080155406699208,0.00535446170148462,0.817995532367474,0.0144389872333907,0.023078122018467,1.53123486378008,2.4722573738001,0.239755025459284,0.0240664101703325,0.151856723378593,0.0517534361232462,0.023078122018467,1.53123486378008,2.02174458093,0.080155406699208,0.0825295825433881,2.60265053025836,0.567965660378267,0.023078122018467,3.35637930189769,1.3346347209676899,1.2774638109536842,0.6023587917452923,1900-10-11 17:20:13.606
Eritrea,3A,,65.941,0.456,-,Africa,LI,3.4527900390625,0.13422458235707,0.327680453481118,0.113810918605388,0.0293345386692777,0.0432377727574596,0.0837019997363171,0.731990265606631,0.213612073866541,0.328630877517758,0.116327979944918,0.0291538330320609,0.0432377727574596,0.0837019997363171,0.814664536855055,0.13422458235707,0.327680453481118,0.103791010676952,1.64564456009012,0.0432377727574596,2.25457837936272,1.4399138425076647,0.5147556589076914,0.361337864459309,
Ethiopia,3A,54.5,66.24,0.478,570.6548011426061,Africa,LI,109.224,0.334250128720671,0.100645260382697,0.404952484937422,0.00140342111763458,0.0675305778137983,0.0503543549206894,0.959136227892913,0.347019754365699,0.099524410555347,0.407392763385233,0.00145001004738772,0.0675305778137983,0.097606764715984,1.02052428088345,0.334250128720671,0.100645260382697,0.053205131262985,0.00232228926918643,0.0675305778137983,0.557953387449338,-0.46257089343411206,0.6448306325759743,1.8290493504282441,
French Guiana,2A,,,,,South America,,0.28293798828125,0.0891478769073354,0.0572799482932157,0.38122467665326,0.0694966263646055,0.00505190706870232,0.733013175499661,1.33521421078678,0.0891478769073354,0.0572799482932157,0.372336956642109,0.0694966263646055,0.00505190706870232,1.28510463972094,1.8784179549969,0.0891478769073354,0.0665290670416346,78.2455195397996,13.7336719871432,0.00505190706870232,92.1399203779605,90.26150242296359,1.1869011456681375,0.02038658105294185,1900-11-02 12:33:50.806
French Polynesia,2B,,77.462,,-,Asia-Pacific,HI,0.27767898559570303,,,,,,,2.12409540162839,,,,,,,3.995740717582,,,,,,1.30575229662656,-2.68998842095544,2.5247571888220843,3.0601062145592888,1900-05-23 13:38:26.088
Gambia,3A,59.3,61.735,0.487,791.4555699285903,Africa,LI,2.28009008789062,0.133736753991931,0.0306666194676948,0.147233753565012,0.0794425224290846,0.0182009413468322,0.0911736082328416,0.500454199033396,0.460530931996108,0.0504737640522236,0.141443537745449,0.0770084967463704,0.0182009413468322,0.293079662260357,1.04073733414734,0.133736753991931,0.0306666194676948,0.0822608219901389,0.250954227110227,0.0182009413468322,0.515819363906823,-0.524917970240517,0.6576024952024694,2.0176391329413867,
Grenada,2B,,72.384,0.773,9091.732718056886,Central America/Caribbean,UM,0.11145400238037,,,,,,,1.69506994341453,,,,,,,2.53614198227368,,,,,,2.09815339547306,-0.4379885868006199,1.6024920419495563,1.2087495546062632,1900-08-14 18:29:08.900
Guadeloupe,2B,,,,,Central America/Caribbean,,0.39984799194335796,,,,,,,2.11442702754376,,,,,,,3.61729827220633,,,,,,0.514995006638606,-3.102303265567724,2.2856337441217405,7.023948243336547,1900-06-07 16:38:06.181
