Country,Quality Score,SDGi,Life Expectancy,HDI,Per Capita GDP,Region,Income Group,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Fish Footprint,Built up land,Carbon Footprint,Total Ecological Footprint (Production),Cropland Footprint.1,Grazing Footprint.1,Forest Product Footprint.1,Fish Footprint.1,Built up land.1,Carbon Footprint.1,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land.2,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required,"actual 
Country Overshoot Day 
2018"
Cambodia,2B,64.5,69.57,0.585,1202.6240467505759,Asia-Pacific,LI,16.2497998046875,,,,,,,1.31457309109297,,,,,,,1.50140806941894,,,,,,1.19559415479015,-0.30581391462878993,0.9486828812343137,1.2557840496321815,
Comoros,2B,,64.118,0.552,1402.7383270693822,Africa,LI,0.8323220214843761,,,,,,,0.889176856266902,,,,,,,1.19337515186407,,,,,,0.352037535962415,-0.841337615901655,0.7540485498402777,3.3899088306068585,
Eritrea,3A,,65.941,0.456,-,Africa,LI,3.4527900390625,0.13422458235707,0.327680453481118,0.113810918605388,0.0293345386692777,0.0432377727574596,0.0837019997363171,0.731990265606631,0.213612073866541,0.328630877517758,0.116327979944918,0.0291538330320609,0.0432377727574596,0.0837019997363171,0.814664536855055,0.13422458235707,0.327680453481118,0.103791010676952,1.64564456009012,0.0432377727574596,2.25457837936272,1.4399138425076647,0.5147556589076914,0.361337864459309,
Guinea-Bissau,3A,,58.003,0.472,622.6911218028902,Africa,LI,1.8743000488281298,0.613433329561047,0.0776554344302399,0.631120539955623,0.0127878455482979,0.0887488594039898,0.0593462838116487,1.48309229271085,0.568370245740796,0.0799811264466032,0.627770398290493,0.00313963594273725,0.0887488594039898,0.099031673929683,1.4670419397543,0.613433329561047,0.0776554344302399,0.294475367959279,1.59154483713449,0.0887488594039898,2.66585782848905,1.1988158887347502,0.9269682257910802,0.5503076435947025,
Honduras,2B,62.8,75.088,0.633,2219.437460402829,Central America/Caribbean,LM,9.58751953124999,,,,,,,1.37107324839205,,,,,,,1.57455470561186,,,,,,1.73681577038937,0.16226106477751,0.9949014696311067,0.9065755461552878,
"Korea, Democratic People's Republic of",3A,,72.095,,-,Asia-Pacific,LI,25.5495996093751,0.193831975575208,0.00143971180095984,0.13279125243567,0.0168920859520263,0.0477175243383304,0.710350612566448,1.10302316266864,0.243554203297658,0.00200036636544229,0.135266041885526,0.0272985624051094,0.0477175243383304,0.710350612566448,1.16618731085851,0.193831975575208,0.00143971180095984,0.223357152986147,0.0914463555436791,0.0477175243383304,0.557792720244324,-0.6083945906141859,0.7368695830656571,2.0907180544552415,
Sao Tome and Principe,2B,58.8,70.17,0.624,1296.7473518125394,Africa,LM,0.211027999877928,,,,,,,0.952368578194114,,,,,,,1.28480353016925,,,,,,0.772470531960801,-0.512332998208449,0.8118186785106976,1.663239537316677,
Somalia,3A,45.6,57.068,,-,Africa,LI,15.0082001953126,0.0396739228567964,0.383808446611211,0.397199402081706,0.00303406187014142,0.0294696486974349,0.0155005302699479,0.868686012387237,0.166265637957404,0.370405330577345,0.409204312128538,0.00385507623988079,0.0294696486974349,0.0368216836446526,1.01602168924525,0.0396739228567964,0.383808446611211,0.137961192181951,0.22705379606094,0.0294696486974349,0.817967006408333,-0.19805468283691707,0.6419856154914436,1.242130405365088,
State of Palestine,2B,,73.895,0.708,2805.316915716577,Middle East/Central Asia,LM,4.86297998046873,,,,,,,0.300103060315039,,,,,,,1.14159590324971,,,,,,0.095924858058625,-1.0456710451910851,0.7213312041937809,11.900939197137175,
Timor-Leste,2A,,69.26,0.599,839.8858211204004,Asia-Pacific,LM,1.26796997070312,0.170365710576939,0.0536039183276116,0.0252795287405839,0.00207538868247619,0.0382327324812117,0.103422559436241,0.392979838245063,0.33603669045124,0.058530786416343,0.0315932299328697,0.0245401318854681,0.0382327324812117,0.103422559436241,0.592356130603373,0.170365710576939,0.0536039183276116,0.574017999033057,0.829900605087337,0.0382327324812117,1.66612096550616,1.073764834902787,0.3742873987050707,0.3555300862704275,
Vanuatu,2C,60.5,70.323,0.603,2864.828553309515,Asia-Pacific,LM,0.292679992675782,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,3A,53.4,,0.582,1678.1814641262492,Africa,LM,17.3516992187499,0.220545578087575,0.130643257591453,0.608300798668467,0.00866593241563347,0.0434829536622605,0.157293988844322,1.16893250926971,0.207057034278858,0.130973906355631,0.615155172090632,0.0517495026345424,0.0434829536622605,0.235610439023934,1.28402900804586,0.220545578087575,0.760214891997718,0.719844513247751,0.0193675737405627,0.0434829536622605,1.76345551073587,0.47942650269000997,0.8113292873221437,0.7281323516406997,
Zimbabwe,3A,58.7,,0.569,1305.8010537606497,Africa,LI,14.4387998046875,0.152608386369051,0.301816497692032,0.272790171192138,0.00176597368058476,0.0232045151661352,0.293603793401687,1.04578933750163,0.19339808663355,0.303349375927527,0.285176496647743,0.00722420833848481,0.0232045151661352,0.403335632608152,1.21568831532159,0.152608386369051,0.301816497692032,0.134279962652494,0.00987033676248933,0.0232045151661352,0.621779698642202,-0.5939086166793881,0.7681473925396676,1.9551753104456824,
