"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Country"
"Afghanistan",-3.00274446261586,-0.357863391655351,-1.34748406709574,0.105131407081043,-1.61773554179249,"Afghanistan"
"Albania",0.627572212598705,-2.02425492859917,0.549925953416836,-0.799399573816696,-1.51093892618993,"Albania"
"Algeria",-0.271321776709616,-0.957969547512351,0.0852111605734112,-0.564047948641132,-0.702075175692864,"Algeria"
"Angola",-2.87420582567795,0.342561396101942,0.0634919472168036,0.11679893019323,-0.0103769541851265,"Angola"
"Antigua and Barbuda",1.46441220390457,-1.12114453065126,-0.924037233083189,-0.619710870980672,1.78631647623878,"Antigua and Barbuda"
"Argentina",2.08311247286968,0.492622898549798,4.79315214317656,-1.3794508381036,-0.748276705854502,"Argentina"
"Armenia",-0.125214552720628,-0.872484664250987,-0.26965013609696,1.09792898560789,-1.62457309672222,"Armenia"
"Australia",3.63002910030874,0.921011407210932,2.37888328997428,0.25102498663166,0.503632793188385,"Australia"
"Austria",4.15211908460365,1.46144200575277,-1.1644627939761,-0.173358300811149,0.0308785595883549,"Austria"
"Azerbaijan",0.284128546490122,-1.53306449413227,0.0220149702624445,0.176319206047779,-1.98823160541203,"Azerbaijan"
"Bahamas",1.92626502866857,-0.67695691548804,-0.505735953703384,-0.86368335223365,2.06860922246419,"Bahamas"
"Bahrain",1.13327628676425,-0.914566276021995,-1.72461924106838,0.648484243544585,-1.83279008609549,"Bahrain"
"Bangladesh",-1.48315896452867,0.433820374747439,-0.340173759968333,1.77625260814241,0.345963135324675,"Bangladesh"
"Barbados",0.928539238999897,-1.81354335136751,-1.50556003965781,-0.249963459824392,0.927653994374832,"Barbados"
"Belarus",1.74452781163433,-0.940781046711532,1.14129374406797,-1.31786319641064,-0.883228929161427,"Belarus"
"Belgium",4.37277056827895,1.42558232164532,-1.43227273355722,0.0164273469600331,-0.35603399345267,"Belgium"
"Belize",0.305297169368084,-5.30317578288378,-0.978777398747599,-1.59972500479718,7.62522785357489,"Belize"
"Benin",-2.57673224333079,1.64529594617981,-0.741765759313342,-1.00467685215769,-0.242076458375041,"Benin"
"Bhutan",0.94991124392358,2.83324493105382,1.17262120127483,1.58620962338906,2.28363200845081,"Bhutan"
"Bolivia",-0.551712162740548,-0.134784093728209,3.25109935873599,-0.255038692819907,-0.495685451528775,"Bolivia"
"Bosnia and Herzegovina",1.2492724557612,-1.56194255001498,0.628608445104969,-1.05434193418865,-1.49737209682992,"Bosnia and Herzegovina"
"Botswana",-1.72327482216149,-0.983991826003264,0.794785740171747,-1.0680124624642,-0.339299931427973,"Botswana"
"Brazil",1.16291574278253,0.180509943687381,3.76993669831165,-0.342858061274521,-0.432798541824347,"Brazil"
"Brunei Darussalam",0.899646447637248,-1.09096938152181,-1.53086847089741,1.3589090383497,0.520921566299172,"Brunei Darussalam"
"Bulgaria",2.5185708135513,1.93268593296653,1.54493447909767,-0.640103808495214,0.0615150096604625,"Bulgaria"
"Burkina Faso",-3.02091428475346,1.72442010378813,-0.594539966973501,-0.920028760337297,-0.0272019155238982,"Burkina Faso"
"Burundi",-3.33906368112442,1.56184131405327,-0.767428524956287,-0.872119241110726,-0.0736232656413743,"Burundi"
"Cabo Verde",-1.10942174672927,-0.0977191382536768,-0.17173024571573,0.0714719904414155,0.608787664503546,"Cabo Verde"
"Cambodia",-1.40796745734729,0.651867698919827,-0.305886560713017,1.02731149744516,0.401376637511068,"Cambodia"
"Cameroon",-2.65103626040474,1.02540275881171,0.121757027101703,0.000604815493222579,0.190474215500607,"Cameroon"
"Canada",5.19196069670616,2.93560301877638,1.8649668939079,-0.589575804721983,-0.406653653014986,"Canada"
"Central African Republic",-4.69262135448301,1.51833327598949,-0.827861674812055,-1.19601223057649,0.064362047666435,"Central African Republic"
"Chad",-3.94320718944658,2.18986285757512,-0.51787941419604,-1.1490064221382,0.176327455688384,"Chad"
"Chile",1.80463370437111,-0.615739460532473,2.61474087078816,-0.93666459608575,-0.0868621170581096,"Chile"
"China",0.476231504378411,-0.262950890149743,2.05719359488125,6.48955473312533,0.377783367319949,"China"
"Colombia",-0.0473822319366627,-1.88236315178894,2.57139083052842,-0.843415172547621,-0.800933215586252,"Colombia"
"Comoros",-2.80984995373231,0.894145374989631,-0.89168743021622,-0.978205752287726,0.28973461382275,"Comoros"
"Congo",-2.40900344494852,0.825637647863271,0.185784640352265,-0.0623071256156899,0.481387788225011,"Congo"
"Congo, Democratic Republic of",-3.66113350889057,1.25431054239929,-0.803715754982411,-0.673695734199748,0.138554565912505,"Congo, Democratic Republic of"
"Costa Rica",0.587003291162899,-1.85993292484411,0.373115202067337,-0.760569882319519,1.18804832226155,"Costa Rica"
"Côte d'Ivoire",-2.06960224093951,2.01097970594527,0.893700064326837,-0.0150976129282929,0.280787377086754,"Côte d'Ivoire"
"Croatia",2.32965170455566,-0.436440048872923,-0.203741817648255,-0.546518233816317,-1.14689212294446,"Croatia"
"Cuba",0.617871789290067,-2.18373121100466,0.302999511915526,-0.653322167560885,0.754777883331994,"Cuba"
"Cyprus",2.91712418459589,0.821977727870743,-1.07798154792453,-0.248992735335111,0.0144814969884252,"Cyprus"
"Czech Republic",3.52893057655923,1.64123270133596,-0.603778664398615,-0.322555267929227,0.242976620288438,"Czech Republic"
"Denmark",5.09356471199605,1.93891609934564,-0.688838577525232,-0.452016059481485,1.24051589616055,"Denmark"
"Djibouti",-0.515567344996536,3.17721434350299,0.219023750233791,0.555428877455753,-0.300691686135615,"Djibouti"
"Dominica",-0.0709152577224454,-2.43050270287331,0.0524056109492182,-0.974153015252028,1.7629578806666,"Dominica"
"Dominican Republic",-0.134345555553552,-2.26504273287499,0.103879351318268,-0.63584003224798,0.757722324405964,"Dominican Republic"
"Ecuador",0.701498501911859,-0.979005193132892,2.82266012811911,-1.05267327232881,-0.206558109954653,"Ecuador"
"Egypt",-1.09226121276339,0.209885705816121,0.0719454508075667,0.594848252674047,-0.169283135216074,"Egypt"
"El Salvador",-0.844944166794863,-1.51431491805673,-0.298169645635982,0.132325307787092,1.21147100643384,"El Salvador"
"Equatorial Guinea",-2.1018455711521,0.0886760504091758,-1.47590812982074,-0.596316015504621,-0.17827754537999,"Equatorial Guinea"
"Eritrea",-3.46513567623681,0.619196317244678,-1.00874471344752,-0.826558570160823,-0.127212588396032,"Eritrea"
"Estonia",3.99216694803514,2.35013320151536,-0.435039344252857,-1.51853939781463,2.20972722048848,"Estonia"
"Eswatini",-2.2941435779992,1.29091290036131,0.0973451556070264,-0.249047991403975,0.411740345109773,"Eswatini"
"Ethiopia",-3.00204278907738,1.05897814561016,-0.713006775773392,-0.482867790046599,-0.0717862239432769,"Ethiopia"
"Fiji",-0.355364277207199,-1.41135643880768,0.152838576876025,0.683671266832953,1.15874876798972,"Fiji"
"Finland",4.70129634807414,1.73055420990855,0.0612223923821684,-1.10339985557949,1.13749514326689,"Finland"
"France",4.27596933146756,1.8100123721187,-0.538146438574986,0.0747744970276199,0.0821187492026735,"France"
"French Guiana",-1.06661446327238,-2.25526328923058,1.76180802112001,-1.10173912017209,-0.470509256391419,"French Guiana"
"French Polynesia",1.92444380294228,0.0551652390292901,-0.510411975378158,1.164532406687,1.24207943931887,"French Polynesia"
"Gabon",-1.18840058133597,-0.445375062304137,0.36334136883955,-1.10848050172467,-0.0547903890860732,"Gabon"
"Gambia",-3.16140440468428,0.575323202753019,-1.25140969777314,-0.932152852089759,-0.27572366184262,"Gambia"
"Georgia",-0.559643707368193,-1.31693132209258,-0.45958982394925,1.12434402118658,-1.47278416746849,"Georgia"
"Germany",3.92086098326183,1.22225340156156,-1.11590603947739,0.218455894375148,-0.158088713319622,"Germany"
"Ghana",-1.36078697609956,1.51136850131185,0.4755671513911,0.0184748377959769,0.375240345973127,"Ghana"
"Greece",2.72277388716943,0.280976375842955,-1.26139684180446,-0.223402468794542,-0.350720225136157,"Greece"
"Grenada",0.0668028819354058,-2.34803157235981,0.112302685565974,-0.986521127615457,1.74085948490854,"Grenada"
"Guadeloupe",0.5910042333901,-2.1745338256785,0.108229864408548,-0.93264740601799,1.72140016136466,"Guadeloupe"
"Guatemala",-0.824955428817485,-0.712264887236376,0.0915662306283807,0.203833915110826,1.31372780229807,"Guatemala"
"Guinea",-2.92549244903052,1.67826630545773,-0.468849264021286,-1.08503594503462,-0.0122769734844087,"Guinea"
"Guinea-Bissau",-3.458871962316,1.43422912457646,-0.708041662800849,-1.08643330730942,0.165542902777756,"Guinea-Bissau"
"Guyana",-0.0560109749040386,1.07158877062806,3.05178955105795,-0.417356722060683,-0.375625733399944,"Guyana"
"Haiti",-3.04713178485684,-0.880272676935734,-1.24211100938853,-0.887181570472241,0.954481774876381,"Haiti"
"Honduras",-0.774041884221157,-1.00218383142007,0.0683865467084333,0.178326489303854,1.18404541257022,"Honduras"
"Hungary",3.33801375846567,2.69604115738855,0.280618819021849,-0.18039524572615,0.0457364321436959,"Hungary"
"India",-1.41482219714837,0.23276937080808,1.43280431075557,6.84670987181515,0.644574976639645,"India"
"Indonesia",-0.629985536956368,-0.0818799024424568,0.551515478361839,2.91699482583145,0.64775978891876,"Indonesia"
"Iran, Islamic Republic of",0.694651308415982,-1.16069734921508,0.245456407465488,0.340158222603118,-1.70842710991734,"Iran, Islamic Republic of"
"Iraq",-1.4681722438653,-1.31744474686775,-0.810205038833481,1.1973584749131,-1.76866868097383,"Iraq"
"Ireland",4.53032910474592,0.786023080380019,-1.63149597731233,-0.342779353937257,-0.35398406865919,"Ireland"
"Israel",2.20156123258806,-1.3631288768572,-1.94373491515799,0.580831287252191,-2.06935657035193,"Israel"
"Italy",3.56633350100472,0.93946376461256,-1.02429095185175,-0.00159847431556238,-0.0450541575944656,"Italy"
"Jamaica",-0.407420620229224,-2.6845961860831,-0.244779523083247,-0.718054376410567,0.764003369460922,"Jamaica"
"Japan",2.33947744282285,-1.01469023289378,-1.29503756054155,2.07781226035173,0.309908656607137,"Japan"
"Jordan",-0.313718891804245,-1.77415454680572,-0.334537035110998,0.306198673147155,-1.84559553510126,"Jordan"
"Kazakhstan",1.21402283895548,-0.55320680139563,1.64547477902459,-0.349405368702811,-2.14978714527756,"Kazakhstan"
"Kenya",-3.03811802066216,0.666067356511753,-0.939979564880442,-0.692006504448205,-0.14030792930508,"Kenya"
"Korea, Democratic People's Republic of",-1.52953746438125,-0.210952785151055,-0.668326599428395,1.20863233090931,0.32723363096817,"Korea, Democratic People's Republic of"
"Korea, Republic of",2.21683695285536,-0.935202294725734,-1.17582980263504,1.73999385423549,0.425390438533651,"Korea, Republic of"
"Kuwait",1.43145009841406,0.600241368009046,-1.39839227158353,0.936199551225938,-1.56899793979306,"Kuwait"
"Kyrgyzstan",-0.797955166228294,-0.0859627714735365,-0.595380898108987,0.2281233683025,-1.78082999349333,"Kyrgyzstan"
"Lao People's Democratic Republic",-0.411369821566521,1.73022102677412,1.00860798567645,2.05770321766267,0.625858298039758,"Lao People's Democratic Republic"
"Latvia",4.16092874278053,2.82299732462185,-0.0657888725894044,-1.43387382158627,1.73793337251954,"Latvia"
"Lebanon",0.0808773538819626,-1.81082616705459,-0.372442004918726,0.266259015841997,-1.94937485074105,"Lebanon"
"Lesotho",-3.63522809470756,0.28673291570423,-0.26871120924727,-0.275286188736551,0.0876055240122959,"Lesotho"
"Liberia",-3.41435830310992,1.02157872058242,-0.997530301134878,-1.12552183787366,0.258233599005106,"Liberia"
"Libyan Arab Jamahiriya",-0.469171939835348,-0.442028725063622,0.259394567348563,-0.787275654495987,-0.302562201951545,"Libyan Arab Jamahiriya"
"Lithuania",2.71574955661098,0.570450430288797,0.61019862793646,-1.05238604224894,0.717339321790758,"Lithuania"
"Luxembourg",4.99688163052605,1.15342884266717,-1.86441258797156,-0.75033577694158,0.7169190276655,"Luxembourg"
"Madagascar",-3.38031622992412,0.999546973880516,-0.449058804892791,-0.843196476747008,-0.0169537764787249,"Madagascar"
"Malawi",-3.11904288562528,1.49411227449642,-0.722334871613095,-0.848233597326672,-0.150602927627253,"Malawi"
"Malaysia",0.973311311255062,-0.750647159265022,0.703800964516193,1.03697068992436,0.65261331270295,"Malaysia"
"Mali",-2.80545918638966,2.24593201777244,-0.198159849796466,-0.896644684541859,-0.169092607432782,"Mali"
"Malta",3.34760996365809,0.527544910353251,-1.28106057897256,-0.456109136494492,0.674600092628932,"Malta"
"Martinique",0.420191215142884,-2.2526442732522,0.0929978067775044,-0.947894979514692,1.70020171952542,"Martinique"
"Mauritania",-2.49709054500406,0.547937248045704,0.825742836540775,-0.14950825408351,-0.000192004737418424,"Mauritania"
"Mauritius",-0.244501564785687,-0.703892027775375,0.11435465609426,-0.809825308638874,-0.251723309677577,"Mauritius"
"Mexico",0.912382314541868,-0.148584524689474,1.30425597561485,0.225026085706496,-0.982653340745431,"Mexico"
"Mongolia",-1.46201285859986,-0.547238462631921,3.48681707321468,1.02474222986306,0.483200308718441,"Mongolia"
"Montenegro",0.59786345928585,-2.28877718772121,0.106449148232755,-1.00951969623553,-1.38875900899716,"Montenegro"
"Morocco",-0.761026310560206,0.154329570293775,-0.0392642655443929,0.365454577301129,-0.397915468897412,"Morocco"
"Mozambique",-3.69899354602009,1.137378894097,-0.689850666166304,-0.904456360472468,0.00982219774914531,"Mozambique"
"Myanmar",-0.647712855855699,2.00989892406761,0.308420125269916,1.12812746427384,0.413559538822127,"Myanmar"
"Namibia",-2.04946185421452,-1.10879580877299,0.344823864668574,-1.16939804207088,0.383819259534569,"Namibia"
"Nepal",-1.23917094928678,0.921462159100422,-0.230413002983594,1.2697963061043,0.392249078445445,"Nepal"
"Netherlands",4.04191861646309,0.5446078330533,-1.91234400802534,-0.0549617947885377,-0.769797396331898,"Netherlands"
"New Zealand",3.73728235541045,0.816217060061299,0.310584608031731,0.677886274688014,1.66282101811968,"New Zealand"
"Nicaragua",-0.994708683846893,-1.42256548549264,0.127259533281814,0.0986854842888845,1.17036362345735,"Nicaragua"
"Niger",-2.89544365011187,1.92988762289955,-0.400252020259961,-1.11788780089781,-0.358488237035408,"Niger"
"Nigeria",-3.15773268596985,1.22115431423452,0.0778440451742009,0.601072671588468,-0.0264235174655951,"Nigeria"
"Norway",4.29326299387282,-1.70875112506966,-1.81442661540383,-0.850376178266017,-0.0654601159598675,"Norway"
"Oman",1.56189701053526,-0.358056376757977,-1.11547721549614,0.339989305518195,-1.27525241486336,"Oman"
"Pakistan",-2.2859144947062,-0.251915855034964,0.173093314717277,2.68578204651953,0.502358747230121,"Pakistan"
"Panama",0.129000058141447,-3.06489775573806,-0.197373874128804,-0.783167810369179,1.1653392811589,"Panama"
"Papua New Guinea",-1.94997537278198,0.771882145279972,0.366104692783429,2.03268069545441,1.95696521201515,"Papua New Guinea"
"Paraguay",1.19343954031888,2.16772767312147,5.15693867287708,-0.766498593178395,-0.0094303902360918,"Paraguay"
"Peru",0.704501111274653,-0.891175571142793,2.8352523123573,-1.0215007013095,-0.306556565995405,"Peru"
"Philippines",-0.974251823558094,-0.349256266862256,0.200376347577951,2.40654347724217,0.602458714659355,"Philippines"
"Poland",3.04804568556059,1.33912568986796,-0.64725243484304,-0.238651598098421,0.170500105703362,"Poland"
"Portugal",2.80356556359725,-0.153968813688218,-1.71178399035113,-0.275329547987154,-0.0988589684348453,"Portugal"
"Qatar",1.96141861947306,-1.01940805225459,-2.37329379341534,0.548591545802761,-1.95831463849075,"Qatar"
"Republic of Moldova",0.29488972492916,-0.380210799662875,0.948025483583996,0.0236936781246578,-1.1924184342959,"Republic of Moldova"
"Republic of North Macedonia",0.646099417458444,-1.91808383667431,0.506666189036171,-0.936971813233579,-1.55080145934736,"Republic of North Macedonia"
"Réunion",0.302449315216178,-0.380395471898626,0.268141389337829,-0.82811587062629,-0.0533728370052458,"Réunion"
"Romania",3.13385224873324,2.34763537440614,1.52545372781298,-0.549576661680921,-0.0598232664106943,"Romania"
"Russian Federation",1.25351474644069,-1.22736283325252,1.22185161460603,-0.756453756357973,-1.00610611775688,"Russian Federation"
"Rwanda",-2.72736882169241,0.658855194493205,-0.964366095803248,-0.7820879859852,-0.199645232085091,"Rwanda"
"Saint Lucia",-0.349611090468241,-3.19692215369606,-0.504451086770506,-0.786489472876994,0.757503349614961,"Saint Lucia"
"Samoa",-0.430806897217289,-0.348869506728724,0.321446913344643,1.81044962188561,1.4032421094871,"Samoa"
"Sao Tome and Principe",-1.77802092338233,0.0742517308085261,-0.110087797607857,-0.0253112025371645,0.951523870933356,"Sao Tome and Principe"
"Saudi Arabia",0.852016700819373,-1.07566726422056,-1.74127733653094,0.616954120595744,-1.967008957493,"Saudi Arabia"
"Senegal",-2.13745877073859,0.624522867053025,-0.119618532051817,0.142246122241804,-0.0925903518368678,"Senegal"
"Serbia",1.57322949023524,-0.793552330335394,1.30807795258604,-0.967040762153526,-1.3579314922438,"Serbia"
"Sierra Leone",-3.73427893593259,1.57394994659419,-0.746786720680724,-1.07859508038953,0.151283766617477,"Sierra Leone"
"Singapore",2.23694742021144,-0.963968140375872,-1.72686754599426,1.54381022128091,0.0607282233661138,"Singapore"
"Slovakia",3.03905531258253,1.49287170538944,-0.669671878554978,-0.298635291839568,0.19938164702144,"Slovakia"
"Slovenia",3.83668583165383,1.10961588789916,-1.02293398433599,-0.409057705685005,0.242941662481814,"Slovenia"
"Solomon Islands",-1.36311175118999,0.552808051044839,-0.436086688202277,1.19629362287848,1.92589196531547,"Solomon Islands"
"Somalia",-4.246891297073,0.879536299235882,-1.10120783453194,-1.03943319243003,0.0951317504834991,"Somalia"
"South Africa",-1.05503238984619,-1.08756604705723,0.133931590970021,-0.631998777909399,-0.321675230586095,"South Africa"
"South Sudan",-3.72238824706199,0.781179637070462,0.175998232007539,-0.122298774257025,0.0504221693221152,"South Sudan"
"Spain",4.0292786655368,0.865119082874729,-0.982643840087932,-0.185456346348657,-0.278946167572449,"Spain"
"Sri Lanka",-0.431858067765309,-0.774565969379793,0.0902231815085145,2.16689180392615,0.624626556129048,"Sri Lanka"
"State of Palestine",-0.859028197547009,-1.02117907671025,-0.471853895872626,1.11316218143583,-1.57344198447712,"State of Palestine"
"Sudan",-2.66111114894831,0.906635499342555,0.170580896137911,0.0845438454570923,-0.169630331762141,"Sudan"
"Suriname",-0.0237246104372455,-0.829661532635349,2.3232075873604,-1.04928373136298,0.0750295317385339,"Suriname"
"Sweden",4.46719746510811,0.937652098963091,-1.5304653013867,-0.601370790891358,0.446362775476104,"Sweden"
"Switzerland",3.44514750221591,-1.39565847725735,-1.61656455218106,-0.341675116765888,-1.6419243793024,"Switzerland"
