"","Quality Score","SDGi","Life Expectancy","HDI","Per Capita GDP","Region","Income Group","Population (millions)","Cropland_Footprint_Production","Grazing_Footprint_Production","Forest_Footprint_Production","Fish_Footprint_Production","BuiltUp_Footprint_Production","Carbon_Footprint_Production","Total_Footprint_Production","Cropland_Footprint_Consumption","Grazing_Footprint_Consumption","Forest_Footprint_Consumption","Fish_Footprint_Consumption","Carbon_Footprint_Consumption","Total_Footprint_Consumption","Grazing land","Forest land","Fishing ground","Total_Biocapacity"
"Afghanistan","3A",53.9,64.486,0.509,564.617382544737,"Middle East/Central Asia","LI",37.1718984374999,0.139392867173196,0.15773983101157,0.0520339273718322,8.39720159434353e-05,0.028433397994101,0.0903031468474439,0.467987142414086,0.269787812494637,0.16509514169904,0.0628786314568386,0.00105956501646205,0.155000802846612,0.68225535150769,0.15773983101157,0.0143768678397281,0,0.339942964018595
"Albania","3A",71,78.458,0.792,5046.03261108447,"Other Europe","UM",2.88273999023438,0.362065114608544,0.19571763859697,0.16317448816675,0.018086733562888,0.0422476200804316,0.639822237735029,1.42111383275061,0.547458323680216,0.195847929009886,0.207561322805762,0.0405949713778016,0.852747856167477,1.88645802312157,0.19571763859697,0.310590492414638,0.0820723594803374,0.992693225180922
"Algeria","3A",70.9,76.693,0.746,4759.83005364244,"Africa","UM",42.2283984375,0.249653044641197,0.10832919066132,0.0798568994971498,0.0084171093852082,0.037283148604679,1.20064229712231,1.68418168991186,0.64291686791431,0.150201265006895,0.163527534515939,0.013792763402875,1.33318713588963,2.34090871533432,0.249356357690563,0.0253325060186657,0.00754136950463023,0.569166426459735
"Angola","3A",50.3,64.5401905873016,0.582,3233.90276709079,"Africa","LM",30.8098007812499,0.21091926669825,0.0545463738396665,0.0865844324850323,0.0788920221943008,0.0464374273660293,0.201849768942,0.679229291525279,0.329742116432915,0.0758528505785264,0.0895366909169708,0.0913829061911503,0.228892681045035,0.861844672530626,0.918249423096492,0.48599972653195,0.175160477233779,1.8367663209265
"Antigua and Barbuda","2B",71.6931464285714,76.885,0.772,15134.9100896097,"Central America/Caribbean","HI",0.096286003112793,0.481108485916887,0.273783010082387,0.718315659507744,0.675602906716237,0.0702981571727035,2.07029240568632,1.91037279893994,0.659675502374718,0.309244618214296,0.702371750903634,0.624533209903218,2.40230766202579,4.65509241986169,0.311234361464783,5.14004054871195,1.56380573748191,0.856508776466882
"Argentina","3A",72.8333365079366,76.52,0.842,10076.3954062373,"South America","UM",44.3611015625,2.20742313125958,0.969692208764631,0.250687823331713,0.174033948422431,0.0927052464559134,1.38153722899213,5.07607958722639,0.908613949053974,0.717146941902389,0.276677713367965,0.0835932195035561,1.23300902757136,3.31174609785516,1.7214213629259,0.609912160088308,1.54819429583163,6.17965619656133
"Armenia","3A",71.8,74.945,0.771,4406.74176336072,"Middle East/Central Asia","LM",2.95175,0.426653162103533,0.111910374104778,0.162204505814676,0.0733971013360683,0.0554595578132017,0.754135278971087,1.25129321611811,0.506822029349735,0.153457154966666,0.21606608918719,0.0835692924907024,0.947225416974409,1.90039211653785,0.124731780093632,0.193850086141118,0.189643497100626,0.616116456142707
"Australia","3A",75.6,82.7488,0.943,57032.2370515312,"Asia-Pacific","HI",24.89819921875,1.92115791758873,2.41325481658602,0.984092570621241,0.0413691723629151,0.0408703540405788,5.44593930426768,10.8466841354672,0.765994859572182,0.522429083886807,0.947138881586788,0.112822069917975,4.69678370165206,7.08603895065639,4.61339332792159,1.95952920630635,2.93674339815278,11.47169420401
"Austria","3A",82.1,81.6927,0.921,49711.0145293963,"EU","HI",8.89138964843749,0.51906870070478,0.144925246547453,1.31108456006782,5.99368427143614e-05,0.131240905009873,2.51309583926309,4.61947518843573,0.751800319841326,0.26921436374345,0.919378383696686,0.0563843932985444,3.93644118703882,6.0644595526287,0.144925246547453,1.87749553859898,0.00295564268453639,2.67568603354563
"Azerbaijan","3A",72.4,75.6070665206349,0.754,5795.02165664263,"Middle East/Central Asia","UM",9.94954003906248,0.435543823790782,0.173177123036226,0.0162266564097313,0.000289619383426397,0.0569118763828352,1.11456573366079,1.79671483266379,0.591934801042851,0.222369954313027,0.127092963845586,0.0102198615105309,1.05154532053179,2.06007477762662,0.173177123036226,0.107072789619193,0.0144557418774481,0.787161354706485
"Bahamas","3A",72.9921170634921,73.752,0.812,28845.5210214368,"Central America/Caribbean","HI",0.385636993408203,0.73970623404646,0.540254136083669,1.52392375384972,0.824352719102867,0.0816403605674196,1.77990280786351,1.92310528995575,0.643275328872648,0.437080213301625,0.943258305780594,0.69909576391656,2.37395703335052,4.28452598409871,0.896668824673328,9.25840488728258,2.70509550004622,9.17538369712026
"Bahrain","3A",69.1923944444444,77.163,0.852,21477.9706577012,"Middle East/Central Asia","HI",1.56944995117187,0.00686045557958919,0,0.00174295200877439,0.0265718555044115,0.0693809794524034,7.18705485177368,7.29161109431885,0.590591676953265,0.30791473732531,0.219729537524482,0.0802372604991535,6.90503391399013,8.17288810574474,0,0.00077537037049437,0.388243105536235,0.465259910938722
"Bangladesh","3A",63.5,72.32,0.625,1202.15396246057,"Asia-Pacific","LI",161.377,0.273862594835575,0.00319794563405955,0.0619307171747321,0.0217608817386625,0.0814558435756814,0.191779705593373,0.633987688552084,0.385748167749737,0.00544017943188014,0.08178511062609,0.0270048400266276,0.322460085927038,0.903894227337054,0.00319794563405955,0.00512813145574539,0.0512234233030412,0.414867938804102
"Barbados","3A",68.4,79.081,0.81,16136.9104274278,"Central America/Caribbean","HI",0.286640991210937,0.0674199932807721,0.00316159287915277,0.0207653360937968,0.0723319367053496,0.054271660452771,1.68619989634865,1.90415041576049,0.575687410582073,0.283128381081388,0.128745080231165,0.272113331588847,2.65570920478227,3.96965506871852,0.00316159287915277,0.0182733834526564,0.0430394819701271,0.186166112035479
"Belarus","3A",78.8,74.1756,0.823,6607.80812363635,"Other Europe","UM",9.45262011718751,0.854818813263575,0.249903134506054,1.68479136889059,0.000351119286940541,0.0497615235398288,2.26310219307781,5.10272815256479,0.713218301851431,0.124496003217662,1.31742152829632,0.0713461303252274,2.12673536259474,4.4029788498252,0.249903134506054,1.68508489987914,0.0178146001387219,2.85738297132732
"Belgium","3A",82.2,81.5951,0.93,46768.0401722337,"EU","HI",11.4822001953124,0.290762899376203,0.0332169341285414,0.290377779403455,0.0139428819875017,0.133779703541772,2.8946679469227,3.65674814536017,1.10036583034798,0.408781675993326,0.564127271155203,0.094978505365771,4.56360066841408,6.86563365481813,0.0332169341285414,0.262285129854447,0.0418560574867168,0.76190072438768
"Belize","2A",64.4,74.496,0.714,4217.20761752806,"Central America/Caribbean","UM",0.383071014404296,0.508001299126198,0.194245822829467,0.198326909161879,5.20430664097156,0.000522416858660702,0.376702381498338,6.4821054704461,0.507990847104286,0.274985047933845,0.303776999593317,5.14439286318242,1.64079204470191,7.87246021937444,0.194245822829467,1.87507000648132,0.936025179782358,3.51386472507801
"Benin","3A",49.9,61.47,0.541,1211.31911188508,"Africa","LI",11.4849999999999,0.607541816560887,0.032145828445931,0.239971029286664,0.040518941462872,0.0526068669891117,0.233660366319844,1.20644484906531,0.778173504280193,0.0355927129287684,0.236790878530307,0.106953092506193,0.397322210156711,1.60743926539129,0.032145828445931,0.207890885071152,0.0196409844207302,0.919826381487812
"Bhutan","3A",70,71.46,0.649,3128.85411548466,"Asia-Pacific","LM",0.754388000488281,0.223886749884971,0.302771717352749,2.73283772233651,2.40487189918628e-06,0.21432925287391,0.796209315534089,4.27003716285413,0.541126600779743,0.379141701240141,2.79280963330095,0.0292221673926583,1.20214028284362,5.15876963843102,0.339840183186475,4.18732008696396,0.0120790156754583,4.97745528858478
"Bolivia","3A",67.6,71.239,0.714,2559.52127611075,"South America","LM",11.353099609375,0.639294965255619,1.6154630861801,0.172084704982988,0.000992459359729189,0.0647496127742872,0.69736534105786,3.18995016961059,0.476111574976585,1.60714177291152,0.201783008850206,0.00949431531915063,0.749221758143257,3.108502042975,2.01286303803475,11.4796501125486,0.0490563479913365,14.2456140766046
"Bosnia and Herzegovina","3A",73.7,77.262,0.777,6096.90950675284,"Other Europe","UM",3.32392993164062,0.470343415125155,0.196021949173563,0.814962169094614,0.000139715130083362,0.0304861728542268,2.39956390420984,3.91151732558748,0.86458933067101,0.372742174476917,0.635469037125028,0.0253765995725288,1.96356962308562,3.89223293778533,0.241145428964578,1.25343493126095,0.00390198300938302,1.99931193121429
"Botswana","3A",61.9,69.275,0.683174932539683,6215.07575254548,"Africa","UM",2.25407006835937,0.0592313268296719,0.538885540726896,0.149347306597951,7.34572613387683e-06,0.0291931660293772,1.10666601150826,1.88333069741829,0.304045374939349,0.0783634110896576,0.219298397450064,0.00948762262901448,1.72886788445757,2.36925585659503,2.21145337245773,0.759826421409103,0.24255495721767,3.30225924394356
"Brazil","3A",71.3,75.672,0.762,11075.6245554235,"South America","UM",209.469,1.17864683102796,0.81908964233782,0.745900822677967,0.0314743103959618,0.128556159500955,0.73037163362522,3.63403939956588,0.593462963790421,0.656062245538357,0.465568715265041,0.0409532931520262,0.703355807848312,2.58795918509511,0.81908964233782,6.32165367069396,0.161414176754917,8.60936048031561
"Brunei Darussalam","3A",68.3,75.722,0.836,31436.7430312189,"Asia-Pacific","HI",0.428963012695312,0.0151836835484413,0.0105423539844249,0.138670408965837,0.252558802890595,0.0218599498112835,5.77186152775402,6.2106767269546,0.520176432497796,0.287176006038259,0.202323039263345,0.417119471675245,3.96671404844111,5.41536894772703,0.0105423539844249,1.46909184475751,1.19557712723477,2.71225495933643
"Bulgaria","2A",73.8,74.9634,0.810265468253968,11615.9223176578,"EU","UM",7.05160986328126,1.71355072899917,0.083753514973288,0.514531799738471,0.00266817675226045,0.171560419203059,2.1058242585757,4.59188889824195,0.706830982965451,0.179062758076897,0.462172255959698,0.0370032196849953,2.06444024317878,3.62106987906888,0.0903820561282427,1.17810545420681,0.12270374230178,3.27630240083906
"Burkina Faso","3A",53.5,61.174,0.443,800.313900210111,"Africa","LI",19.7515,0.548195216431469,0.141871592283444,0.31214920623696,0.00417689357470588,0.0715640973132055,0.078631535911159,1.15658854175094,0.498846401712048,0.141710294635151,0.313284145570886,0.0467893914882404,0.189091874863153,1.26128620558268,0.141871592283444,0.236016066298135,0.00114413669435352,0.998791109020606
"Burundi","3A",51.8,61.247,0.431,210.804080180994,"Africa","LI",11.1754003906249,0.400638268090781,0.0582137342359947,0.241266724280077,0.00157278522872648,0.0710949370455026,0.0150073512097011,0.787793800090782,0.412325453206913,0.0590846360057628,0.242643091547767,0.00318456582439277,0.045127633789812,0.83346031742015,0.0582137342359947,0.00844721182283496,0.00701231918472567,0.545406470379839
