split,methode,modele,rmse,n_vars,n_train,n_test
70,lasso,gb,3.054753239553605,3,75,31
70,lasso,rf,6.659329356915074,3,75,31
70,lasso,regression,46.060415095335586,3,75,31
70,stepwise,gb,26.488362180908616,21,75,31
70,stepwise,rf,29.376557722321774,21,75,31
70,stepwise,regression,68.39714517681581,21,75,31
70,varcompletes,gb,5.069341769363439,38,75,31
70,varcompletes,rf,10.227020926558138,38,75,31
70,varcompletes,regression,79.7848923105948,38,75,31
80,lasso,gb,4.223678119192267,5,86,20
80,lasso,rf,6.17650430259706,5,86,20
80,lasso,regression,52.11683143677296,5,86,20
80,stepwise,rf,35.179194834447244,29,86,20
80,stepwise,gb,35.64400992429796,29,86,20
80,stepwise,regression,47.902473806173035,29,86,20
80,varcompletes,gb,4.909225947736977,38,86,20
80,varcompletes,rf,9.064147560581743,38,86,20
80,varcompletes,regression,46.859910680360315,38,86,20
90,lasso,gb,3.815874491061712,4,97,9
90,lasso,rf,6.410024198255588,4,97,9
90,lasso,regression,57.03544224086579,4,97,9
90,stepwise,gb,27.926598422645444,21,97,9
90,stepwise,rf,33.20425247196844,21,97,9
90,stepwise,regression,35.11690773433639,21,97,9
90,varcompletes,gb,7.498776059341181,38,97,9
90,varcompletes,rf,10.334022665179539,38,97,9
90,varcompletes,regression,40.84604656550268,38,97,9
