Country,SDGi,Life Expectancy,HDI,Per Capita GDP,Population (millions),Cropland_Footprint_Production,Grazing_Footprint_Production,Forest_Footprint_Production,Fish_Footprint_Production,BuiltUp_Footprint_Production,Carbon_Footprint_Production,Total_Footprint_Production,Cropland_Footprint_Consumption,Grazing_Footprint_Consumption,Forest_Footprint_Consumption,Fish_Footprint_Consumption,BuiltUp_Footprint_Consumption,Carbon_Footprint_Consumption,Total_Footprint_Consumption,Cropland,Grazing land,Forest land,Fishing ground,BuiltUp_Biocapacity,Total_Biocapacity,Overshoot_Day_DOY,Income Group_LM,Income Group_UM,Income Group_HI,Quality Score_2B,Quality Score_2C,Quality Score_3A,Region_Asia-Pacific,Region_Central America/Caribbean,Region_EU,Region_Middle East/Central Asia,Region_North America,Region_Other Europe,Region_South America
Algeria,70.9,76.693,0.746,4759.830053642441,42.2283984375,0.249653044641197,0.10832919066132,0.0798568994971498,0.0084171093852082,0.037283148604679,1.20064229712231,1.68418168991186,0.64291686791431,0.150201265006895,0.163527534515939,0.013792763402875,0.037283148604679,1.33318713588963,2.34090871533432,0.249653044641197,0.249356357690563,0.0253325060186657,0.0075413695046302,0.037283148604679,0.569166426459735,245.0,0,1,0,0,0,1,0,0,0,0,0,0,0
Argentina,72.8,76.52,0.842,10076.39540623727,44.3611015625,2.20742313125958,0.969692208764631,0.250687823331713,0.174033948422431,0.0927052464559134,1.38153722899213,5.07607958722639,0.908613949053974,0.717146941902389,0.276677713367965,0.0835932195035561,0.0927052464559134,1.23300902757136,3.31174609785516,2.20742313125958,1.7214213629259,0.609912160088308,1.54819429583163,0.0927052464559134,6.17965619656133,173.0,0,1,0,0,0,1,0,0,0,0,0,0,1
Benin,49.9,61.47,0.541,1211.3191118850782,11.4849999999999,0.607541816560887,0.032145828445931,0.239971029286664,0.040518941462872,0.0526068669891117,0.233660366319844,1.20644484906531,0.778173504280193,0.0355927129287684,0.236790878530307,0.106953092506193,0.0526068669891117,0.397322210156711,1.60743926539129,0.607541816560887,0.032145828445931,0.207890885071152,0.0196409844207302,0.0526068669891117,0.919826381487812,358.0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bosnia and Herzegovina,73.7,77.262,0.777,6096.909506752836,3.32392993164062,0.470343415125155,0.196021949173563,0.814962169094614,0.0001397151300833,0.0304861728542268,2.39956390420984,3.91151732558748,0.86458933067101,0.372742174476917,0.635469037125028,0.0253765995725288,0.0304861728542268,1.96356962308562,3.89223293778533,0.470343415125155,0.241145428964578,1.25343493126095,0.003901983009383,0.0304861728542268,1.99931193121429,147.0,0,1,0,0,0,1,0,0,0,0,0,1,0
Chad,40.9,53.977,0.397,812.019863507005,15.4777001953125,0.383660558319339,0.923675469993327,0.228610593824604,0.0105262288559997,0.0583413837311123,0.0373808108540237,1.64219504557841,0.386437962452531,0.917651119858202,0.228765076423924,0.01074532258443,0.0583413837311123,0.0493849958643244,1.65132586091452,0.383660558319339,0.923675469993327,0.280083387216795,0.0584025162223199,0.0583413837311123,1.70416331548289,348.0,0,0,0,0,0,1,0,0,0,0,0,0,0
Denmark,84.9,80.9537,0.939,64671.69684598826,5.7521298828125,1.35691122972354,0.0090361076962198,0.350006813183871,0.572613727471708,0.158076648337212,1.94824709004259,4.39489161645514,0.702308675535776,0.469323949930319,1.06115959522974,0.812304625880033,0.158076648337212,3.45021385881744,6.65338735373052,1.35691122972354,0.0090361076962198,0.3389603160948,1.75530882351399,0.158076648337212,3.61829312536576,85.0,0,0,1,0,0,1,0,0,1,0,0,0,0
Eswatini,53.3,59.401,0.605,4761.590330288579,1.1362800292968702,0.279356724403419,0.401557599901612,1.17450917230864,8.71010605873212e-05,0.069788898712182,0.365782191501997,2.29108168788843,0.4385463766969,0.465571737155513,0.977699148954934,0.0188716092068935,0.069788898712182,0.493417776038449,2.46389554676487,0.279356724403419,0.553812714265285,0.0483056679118953,0.0051324049696667,0.069788898712182,0.956396410262447,233.0,1,0,0,0,0,1,0,0,0,0,0,0,0
Ghana,62.5,63.78,0.606,1808.3286818796112,29.7670996093749,0.753691144062213,0.0594574813946058,0.666246343441352,0.114841555608617,0.0940411993107111,0.205188789757857,1.89346651357536,0.585513633138257,0.0758193425281547,0.675229785717592,0.17823779692443,0.0940411993107111,0.395822774157793,2.00466453177694,0.753691144062213,0.193536041972062,0.207244222819569,0.0512560322480578,0.0940411993107111,1.29976864041261,287.0,1,0,0,0,0,1,0,0,0,0,0,0,0
Guinea,51.0,61.185,0.473,897.1186595473429,12.4142998046874,0.464089244308807,0.483279919747273,0.411296678275782,0.0869638707114626,0.0597939900252902,0.0753526259083825,1.580776328977,0.616641405233667,0.492293943821448,0.412389150618869,0.0856299843252342,0.0597939900252902,0.177267441338108,1.84401591536262,0.464089244308807,0.694660275632091,0.558303022864292,0.281397939959866,0.0597939900252902,2.05824447279035,312.0,0,0,0,0,0,1,0,0,0,0,0,0,0
Indonesia,66.3,71.509,0.712,4296.318988609167,267.67099999999897,0.512430767625054,0.0170728797835669,0.269002078922699,0.261174368242327,0.0611190055269883,0.736910403603627,1.85770950370426,0.498682410337211,0.0427266739927918,0.182644735357864,0.229114552070218,0.0611190055269883,0.702893673580693,1.71718105086577,0.512430767625054,0.0521330967887828,0.269884735010796,0.344678093699608,0.0611190055269883,1.24024569865123,335.0,1,0,0,0,0,1,1,0,0,0,0,0,0
