Country,Quality Score,SDGi,Life Expectancy,HDI,Per Capita GDP,Region,Income Group,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Fish Footprint,Built up land,Carbon Footprint,Total Ecological Footprint (Production),Cropland Footprint.1,Grazing Footprint.1,Forest Product Footprint.1,Fish Footprint.1,Built up land.1,Carbon Footprint.1,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land.2,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required,"actual 
Country Overshoot Day 
2018"
Albania,3A,71.0,78.458,0.792,5046.032611084467,Other Europe,UM,2.88273999023438,0.362065114608544,0.19571763859697,0.16317448816675,0.018086733562888,0.0422476200804316,0.639822237735029,1.42111383275061,0.547458323680216,0.195847929009886,0.207561322805762,0.0405949713778016,0.0422476200804316,0.852747856167477,1.88645802312157,0.362065114608544,0.19571763859697,0.310590492414638,0.0820723594803374,0.0422476200804316,0.992693225180922,-0.893764797940648,1.1919813601342713,1.9003434044568563,1900-11-01 05:06:29.557
Algeria,3A,70.9,76.693,0.746,4759.830053642441,Africa,UM,42.2283984375,0.249653044641197,0.10832919066132,0.0798568994971498,0.0084171093852082,0.037283148604679,1.20064229712231,1.68418168991186,0.64291686791431,0.150201265006895,0.163527534515939,0.013792763402875,0.037283148604679,1.33318713588963,2.34090871533432,0.249653044641197,0.249356357690563,0.0253325060186657,0.00754136950463023,0.037283148604679,0.569166426459735,-1.7717422888745848,1.4791315365910767,4.112872099457758,1900-09-02 18:23:39.042
Antigua and Barbuda,2B,,76.885,0.772,15134.910089609682,Central America/Caribbean,HI,0.09628600311279299,,,,,,,1.91037279893994,,,,,,,4.65509241986169,,,,,,0.856508776466882,-3.7985836433948084,2.941376551276641,5.434961728079485,1900-05-03 02:11:50.646
Argentina,3A,72.8,76.52,0.842,10076.39540623727,South America,UM,44.3611015625,2.20742313125958,0.969692208764631,0.250687823331713,0.174033948422431,0.0927052464559134,1.38153722899213,5.07607958722639,0.908613949053974,0.717146941902389,0.276677713367965,0.0835932195035561,0.0927052464559134,1.23300902757136,3.31174609785516,2.20742313125958,1.7214213629259,0.609912160088308,1.54819429583163,0.0927052464559134,6.17965619656133,2.8679100987061705,2.092566900380145,0.5359110592103782,1900-06-22 10:14:45.914
Armenia,3A,71.8,74.945,0.771,4406.741763360718,Middle East/Central Asia,LM,2.95175,0.208557325196056,0.156551687882874,0.198052713856041,4.41355787858651e-05,0.0357629323497004,0.652324421254654,1.25129321611811,0.482838528337327,0.201365023087704,0.2671960150033,0.000756200443845803,0.0357629323497004,0.912473417315973,1.90039211653785,0.208557325196056,0.263464504424988,0.0926493689157448,0.0156823252562176,0.0357629323497004,0.616116456142707,-1.2842756603951428,1.200785785898854,3.084469011646841,1900-10-29 23:13:22.549
Australia,3A,75.6,82.7488,0.943,57032.23705153124,Asia-Pacific,HI,24.89819921875,1.92115791758873,2.41325481658602,0.984092570621241,0.0413691723629151,0.0408703540405788,5.44593930426768,10.8466841354672,0.765994859572182,0.522429083886807,0.947138881586788,0.112822069917975,0.0408703540405788,4.69678370165206,7.08603895065639,1.92115791758873,4.61339332792159,1.95952920630635,2.93674339815278,0.0408703540405788,11.47169420401,4.385655253353609,4.477399572555192,0.6176976848092257,1900-03-21 12:29:34.059
Austria,3A,82.1,81.6927,0.921,49711.01452939631,EU,HI,8.89138964843749,0.51906870070478,0.144925246547453,1.31108456006782,5.99368427143614e-05,0.131240905009873,2.51309583926309,4.61947518843573,0.751800319841326,0.26921436374345,0.919378383696686,0.0563843932985444,0.131240905009873,3.93644118703882,6.0644595526287,0.51906870070478,0.144925246547453,1.87749553859898,0.00295564268453639,0.131240905009873,2.67568603354563,-3.3887735190830703,3.8319022514267673,2.2665064124106173,1900-04-04 06:04:15.025
Azerbaijan,3A,72.4,72.864,0.754,5795.021656642627,Middle East/Central Asia,UM,9.94954003906248,0.435543823790782,0.173177123036226,0.0162266564097313,0.000289619383426397,0.0569118763828352,1.11456573366079,1.79671483266379,0.591934801042851,0.222369954313027,0.127092963845586,0.0102198615105309,0.0569118763828352,1.05154532053179,2.06007477762662,0.435543823790782,0.173177123036226,0.107072789619193,0.0144557418774481,0.0569118763828352,0.787161354706485,-1.2729134229201353,1.301683210183702,2.6170933891880104,1900-10-06 09:44:52.855
Bahamas,3A,,73.752,0.812,28845.521021436787,Central America/Caribbean,HI,0.385636993408203,0.0493067627665355,0.00234998750684305,0.0636655038355469,0.054176856223556,0.0425307796456782,1.71107539997759,1.92310528995575,0.580121172508034,0.276781913722612,0.220928672588984,0.11421525041982,0.0425307796456782,3.04994819521358,4.28452598409871,0.0493067627665355,0.00234998750684305,1.09923100222213,7.98196516497908,0.0425307796456782,9.17538369712026,4.89085771302155,2.7072296586837385,0.466958780747603,1900-05-13 19:46:48.556
Bahrain,3A,66.1,77.163,0.852,21477.970657701197,Middle East/Central Asia,HI,1.56944995117187,0.00686045557958919,0.0,0.00174295200877439,0.0265718555044115,0.0693809794524034,7.18705485177368,7.29161109431885,0.590591676953265,0.30791473732531,0.219729537524482,0.0802372604991535,0.0693809794524034,6.90503391399013,8.17288810574474,0.0068604555795892,0.0,0.00077537037049437,0.388243105536235,0.0693809794524034,0.465259910938722,-7.707628194806017,5.164138380556491,17.566284808968135,1900-03-10 16:18:50.238
